Source;Target;Id;linkname
0;316;0.0;0->316
0;625;1.0;0->625
0;2312;2.0;0->2312
0;4153;3.0;0->4153
0;6158;4.0;0->6158
0;6371;5.0;0->6371
0;6397;6.0;0->6397
0;7761;7.0;0->7761
1;2;8.0;1->2
1;4786;9.0;1->4786
1;7569;10.0;1->7569
1;7833;11.0;1->7833
1;8359;12.0;1->8359
2;1;13.0;2->1
2;18;14.0;2->18
2;30;15.0;2->30
2;143;16.0;2->143
2;2328;17.0;2->2328
2;3265;18.0;2->3265
2;3413;19.0;2->3413
2;3600;20.0;2->3600
2;3623;21.0;2->3623
2;3745;22.0;2->3745
2;3785;23.0;2->3785
2;4914;24.0;2->4914
2;5077;25.0;2->5077
2;5488;26.0;2->5488
2;5730;27.0;2->5730
2;5869;28.0;2->5869
2;6491;29.0;2->6491
2;6510;30.0;2->6510
2;7134;31.0;2->7134
2;7136;32.0;2->7136
2;7548;33.0;2->7548
2;7717;34.0;2->7717
2;8031;35.0;2->8031
2;8145;36.0;2->8145
2;8721;37.0;2->8721
2;9583;38.0;2->9583
2;9675;39.0;2->9675
2;9989;40.0;2->9989
2;10784;41.0;2->10784
3;1026;42.0;3->1026
3;1040;43.0;3->1040
3;1085;44.0;3->1085
3;1102;45.0;3->1102
3;9314;46.0;3->9314
3;10684;47.0;3->10684
4;743;48.0;4->743
4;781;49.0;4->781
4;1424;50.0;4->1424
4;2142;51.0;4->2142
4;2424;52.0;4->2424
4;3182;53.0;4->3182
4;3269;54.0;4->3269
4;3531;55.0;4->3531
4;3794;56.0;4->3794
4;4144;57.0;4->4144
4;4164;58.0;4->4164
4;4192;59.0;4->4192
4;4753;60.0;4->4753
4;5234;61.0;4->5234
4;5811;62.0;4->5811
4;5815;63.0;4->5815
4;6345;64.0;4->6345
4;6599;65.0;4->6599
4;6676;66.0;4->6676
4;6678;67.0;4->6678
4;6682;68.0;4->6682
4;7617;69.0;4->7617
4;7801;70.0;4->7801
4;8012;71.0;4->8012
4;8246;72.0;4->8246
4;8297;73.0;4->8297
4;8436;74.0;4->8436
5;1020;75.0;5->1020
5;3901;76.0;5->3901
5;4063;77.0;5->4063
5;4659;78.0;5->4659
5;6314;79.0;5->6314
5;6330;80.0;5->6330
5;7212;81.0;5->7212
5;7233;82.0;5->7233
5;7259;83.0;5->7259
5;7312;84.0;5->7312
5;10933;85.0;5->10933
5;10990;86.0;5->10990
6;14;87.0;6->14
6;23;88.0;6->23
6;182;89.0;6->182
6;631;90.0;6->631
6;778;91.0;6->778
6;813;92.0;6->813
6;1178;93.0;6->1178
6;1185;94.0;6->1185
6;1823;95.0;6->1823
6;2918;96.0;6->2918
6;3139;97.0;6->3139
6;3157;98.0;6->3157
6;3268;99.0;6->3268
6;3947;100.0;6->3947
6;3983;101.0;6->3983
6;4144;102.0;6->4144
6;4238;103.0;6->4238
6;4263;104.0;6->4263
6;4291;105.0;6->4291
6;4672;106.0;6->4672
6;4674;107.0;6->4674
6;4700;108.0;6->4700
6;5003;109.0;6->5003
6;5256;110.0;6->5256
6;5287;111.0;6->5287
6;5298;112.0;6->5298
6;5303;113.0;6->5303
6;5335;114.0;6->5335
6;5339;115.0;6->5339
6;6350;116.0;6->6350
6;6359;117.0;6->6359
6;6379;118.0;6->6379
6;6620;119.0;6->6620
6;7935;120.0;6->7935
6;8874;121.0;6->8874
7;969;122.0;7->969
7;970;123.0;7->970
7;972;124.0;7->972
7;2162;125.0;7->2162
8;266;126.0;8->266
8;359;127.0;8->359
8;1016;128.0;8->1016
8;1037;129.0;8->1037
8;1040;130.0;8->1040
8;2295;131.0;8->2295
8;7120;132.0;8->7120
8;9197;133.0;8->9197
8;9212;134.0;8->9212
8;9252;135.0;8->9252
8;9285;136.0;8->9285
8;9287;137.0;8->9287
8;9542;138.0;8->9542
8;9551;139.0;8->9551
8;9790;140.0;8->9790
8;9965;141.0;8->9965
8;10127;142.0;8->10127
8;10519;143.0;8->10519
8;10741;144.0;8->10741
8;10787;145.0;8->10787
9;661;146.0;9->661
9;755;147.0;9->755
9;1733;148.0;9->1733
9;2784;149.0;9->2784
9;3935;150.0;9->3935
9;4753;151.0;9->4753
9;4763;152.0;9->4763
9;5811;153.0;9->5811
9;5824;154.0;9->5824
9;5828;155.0;9->5828
9;6373;156.0;9->6373
9;7913;157.0;9->7913
9;8107;158.0;9->8107
9;8248;159.0;9->8248
9;8297;160.0;9->8297
9;8545;161.0;9->8545
10;2;162.0;10->2
10;32;163.0;10->32
10;3265;164.0;10->3265
10;3600;165.0;10->3600
10;5564;166.0;10->5564
10;5566;167.0;10->5566
10;7140;168.0;10->7140
11;16;169.0;11->16
11;1327;170.0;11->1327
12;22;171.0;12->22
12;2086;172.0;12->2086
12;4757;173.0;12->4757
12;6340;174.0;12->6340
13;1040;175.0;13->1040
13;1077;176.0;13->1077
13;2273;177.0;13->2273
13;7957;178.0;13->7957
13;9754;179.0;13->9754
13;9774;180.0;13->9774
13;10122;181.0;13->10122
14;633;182.0;14->633
14;1140;183.0;14->1140
14;1233;184.0;14->1233
14;1598;185.0;14->1598
14;3519;186.0;14->3519
14;6258;187.0;14->6258
14;6380;188.0;14->6380
14;6398;189.0;14->6398
14;6402;190.0;14->6402
14;6715;191.0;14->6715
14;8368;192.0;14->8368
14;8510;193.0;14->8510
14;9169;194.0;14->9169
15;152;195.0;15->152
15;698;196.0;15->698
15;4192;197.0;15->4192
15;4261;198.0;15->4261
15;4396;199.0;15->4396
15;4735;200.0;15->4735
15;6761;201.0;15->6761
15;8549;202.0;15->8549
16;11;203.0;16->11
16;538;204.0;16->538
16;1056;205.0;16->1056
16;1327;206.0;16->1327
16;1328;207.0;16->1328
16;1737;208.0;16->1737
16;2086;209.0;16->2086
16;3236;210.0;16->3236
16;4450;211.0;16->4450
16;5393;212.0;16->5393
16;5414;213.0;16->5414
16;5730;214.0;16->5730
16;6292;215.0;16->6292
16;6505;216.0;16->6505
16;7383;217.0;16->7383
16;7384;218.0;16->7384
16;7833;219.0;16->7833
16;8721;220.0;16->8721
16;9071;221.0;16->9071
16;9394;222.0;16->9394
16;9485;223.0;16->9485
16;9739;224.0;16->9739
16;9818;225.0;16->9818
16;9870;226.0;16->9870
17;795;227.0;17->795
17;7277;228.0;17->7277
17;7284;229.0;17->7284
18;1;230.0;18->1
18;5201;231.0;18->5201
18;5575;232.0;18->5575
19;858;233.0;19->858
19;2362;234.0;19->2362
19;3829;235.0;19->3829
19;7818;236.0;19->7818
19;7824;237.0;19->7824
19;8129;238.0;19->8129
19;8254;239.0;19->8254
19;8507;240.0;19->8507
19;10009;241.0;19->10009
21;512;242.0;21->512
21;7264;243.0;21->7264
21;7312;244.0;21->7312
21;11040;245.0;21->11040
21;11207;246.0;21->11207
22;12;247.0;22->12
22;93;248.0;22->93
22;826;249.0;22->826
22;1127;250.0;22->1127
22;1197;251.0;22->1197
22;1526;252.0;22->1526
22;2086;253.0;22->2086
22;2234;254.0;22->2234
22;2380;255.0;22->2380
22;3236;256.0;22->3236
22;5730;257.0;22->5730
22;7142;258.0;22->7142
22;9484;259.0;22->9484
23;6;260.0;23->6
23;781;261.0;23->781
23;844;262.0;23->844
23;2480;263.0;23->2480
24;630;264.0;24->630
24;1233;265.0;24->1233
24;6403;266.0;24->6403
24;7336;267.0;24->7336
24;10468;268.0;24->10468
25;1737;269.0;25->1737
25;2086;270.0;25->2086
25;2234;271.0;25->2234
25;3236;272.0;25->3236
27;3255;273.0;27->3255
27;3920;274.0;27->3920
27;5178;275.0;27->5178
27;7183;276.0;27->7183
27;7191;277.0;27->7191
27;7255;278.0;27->7255
27;10024;279.0;27->10024
27;11011;280.0;27->11011
28;15;281.0;28->15
28;688;282.0;28->688
28;4672;283.0;28->4672
28;5255;284.0;28->5255
28;7436;285.0;28->7436
29;1670;286.0;29->1670
29;2229;287.0;29->2229
29;2424;288.0;29->2424
30;2;289.0;30->2
30;31;290.0;30->31
31;2;291.0;31->2
32;10;292.0;32->10
32;3679;293.0;32->3679
32;6505;294.0;32->6505
33;43;295.0;33->43
33;7761;296.0;33->7761
33;10024;297.0;33->10024
34;42;298.0;34->42
34;45;299.0;34->45
34;51;300.0;34->51
34;52;301.0;34->52
34;104;302.0;34->104
34;1056;303.0;34->1056
34;2086;304.0;34->2086
34;2467;305.0;34->2467
34;3385;306.0;34->3385
34;3716;307.0;34->3716
34;6138;308.0;34->6138
34;6332;309.0;34->6332
34;11289;310.0;34->11289
34;11310;311.0;34->11310
35;461;312.0;35->461
35;6698;313.0;35->6698
36;45;314.0;36->45
36;51;315.0;36->51
36;4923;316.0;36->4923
36;6331;317.0;36->6331
36;6332;318.0;36->6332
37;3278;319.0;37->3278
37;10840;320.0;37->10840
37;10903;321.0;37->10903
37;10912;322.0;37->10912
37;11104;323.0;37->11104
38;1477;324.0;38->1477
38;1482;325.0;38->1482
38;1488;326.0;38->1488
38;2275;327.0;38->2275
38;2472;328.0;38->2472
38;2649;329.0;38->2649
38;3211;330.0;38->3211
38;3278;331.0;38->3278
38;3288;332.0;38->3288
38;3343;333.0;38->3343
38;3344;334.0;38->3344
38;3356;335.0;38->3356
38;3699;336.0;38->3699
38;3702;337.0;38->3702
38;3703;338.0;38->3703
38;3706;339.0;38->3706
38;3732;340.0;38->3732
38;3783;341.0;38->3783
38;3829;342.0;38->3829
38;3899;343.0;38->3899
38;4209;344.0;38->4209
38;4484;345.0;38->4484
38;4662;346.0;38->4662
38;4996;347.0;38->4996
38;5205;348.0;38->5205
38;6331;349.0;38->6331
38;7184;350.0;38->7184
38;7223;351.0;38->7223
38;7225;352.0;38->7225
38;7251;353.0;38->7251
38;7334;354.0;38->7334
38;7345;355.0;38->7345
38;8870;356.0;38->8870
38;10828;357.0;38->10828
38;10831;358.0;38->10831
38;10869;359.0;38->10869
38;10892;360.0;38->10892
38;10953;361.0;38->10953
38;10960;362.0;38->10960
39;46;363.0;39->46
39;3574;364.0;39->3574
39;3747;365.0;39->3747
39;4529;366.0;39->4529
39;6583;367.0;39->6583
39;7176;368.0;39->7176
39;7274;369.0;39->7274
39;10835;370.0;39->10835
40;43;371.0;40->43
40;3663;372.0;40->3663
40;3721;373.0;40->3721
40;3735;374.0;40->3735
40;11288;375.0;40->11288
41;1460;376.0;41->1460
41;4153;377.0;41->4153
41;4626;378.0;41->4626
41;5023;379.0;41->5023
41;5612;380.0;41->5612
41;5631;381.0;41->5631
41;7725;382.0;41->7725
42;35;383.0;42->35
42;45;384.0;42->45
42;1494;385.0;42->1494
42;3385;386.0;42->3385
42;9583;387.0;42->9583
44;51;388.0;44->51
44;52;389.0;44->52
44;54;390.0;44->54
44;492;391.0;44->492
44;2487;392.0;44->2487
44;3385;393.0;44->3385
44;3607;394.0;44->3607
44;6025;395.0;44->6025
44;6256;396.0;44->6256
44;6279;397.0;44->6279
44;7410;398.0;44->7410
45;42;399.0;45->42
45;51;400.0;45->51
45;53;401.0;45->53
45;3603;402.0;45->3603
45;3613;403.0;45->3613
45;4981;404.0;45->4981
45;5492;405.0;45->5492
45;5493;406.0;45->5493
45;9887;407.0;45->9887
45;10114;408.0;45->10114
